key,instantiationMoment,title,description,priority,status,startTimeDuration,finishTimeDuration,link
objective-01,2000/01/01 00:00,a,a,LOW,true,2000/01/01 01:00,2000/01/02 00:00,http://www.example.com
objective-02,2000/01/01 01:00,ab,ab,MEDIUM,false,2000/01/01 02:00, 2000/01/02 01:00,null
objective-03,2022/01/01 16:00,Title,Description,HIGH,false,2200/01/01 17:00, 2200/01/02 18:00,
objective-04,2022/07/29 23:59,75 characters..............................................................,100 characters......................................................................................,HIGH,false,2200/12/31 23:55, 2200/12/31 23:59,
objective-05,2022/07/29 22:59,74 characters.............................................................,99 characters......................................................................................,HIGH,false,2200/12/31 22:55, 2200/12/31 22:59,
objective-06,2022/07/29 22:00,New Title 1,Enhanced Description 1,LOW,true,2200/12/31 22:30,2200/12/31 23:00,http://www.example2.com
objective-07,2022/07/29 21:00,Innovative Title,Creative Description,MEDIUM,false,2200/12/31 21:30,2200/12/31 22:00,null
objective-08,2022/07/29 20:00,Exciting Title,Informative Description,HIGH,false,2200/12/31 20:30,2200/12/31 21:00,null
objective-09,2022/07/29 19:00,Inspiring Title,Dynamic Description,HIGH,false,2200/12/31 19:30,2200/12/31 20:00,null
objective-10,2022/07/29 18:00,Captivating Title,Engaging Description,HIGH,false,2200/12/31 18:30,2200/12/31 19:00,null